id,station_name,ev_network,city,state,zip,street_address,latitude,longitude,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_pricing,access_days_time,access_code,date_last_confirmed,updated_at,open_date,geocode_status
77858,International Brotherhood of Electrical Workers 569,Non-Networked,San Diego,CA,92123,4545 Viewridge Ave,32.822918,-117.124015,J1772,,,3.0,Free,8am-8:30pm M-F; Employee and visitor use only; 2 hour limit,public,2024-05-09,2025-02-12T00:16:32Z,2016-08-01,200-9
197210,EXPOSE EXPOSE 1,ChargePoint Network,San Diego,CA,92123,5520 Kearny Villa Rd,32.834951,-117.138312,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T01:58:10Z,2021-10-07,GPS
176854,TPSD EV STATION 01,ChargePoint Network,San Diego,CA,92123,8650 Tech Way,32.824638,-117.138995,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T01:20:17Z,2021-01-27,GPS
159214,TPSD EV STATION 02,ChargePoint Network,San Diego,CA,92123,8650 Tech Way,32.82462,-117.139008,J1772,,,2.0,,24 hours daily,public,2025-11-08,2025-11-08T01:20:18Z,2020-06-12,GPS
416253,VIVE LUXE 107,ChargePoint Network,San Diego,CA,92123,5075 Kearny Villa Rd,32.828135,-117.142225,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T03:05:58Z,2025-07-16,GPS
416254,VIVE LUXE 106,ChargePoint Network,San Diego,CA,92123,5075 Kearny Villa Rd,32.82808,-117.142206,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T03:05:58Z,2025-07-16,GPS
416257,VIVE LUXE 103,ChargePoint Network,San Diego,CA,92123,5075 Kearny Villa Rd,32.828112,-117.142256,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T03:05:59Z,2025-07-16,GPS
416255,VIVE LUXE 105,ChargePoint Network,San Diego,CA,92123,5075 Kearny Villa Rd,32.828099,-117.142276,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T03:05:59Z,2025-07-16,GPS
416256,VIVE LUXE 104,ChargePoint Network,San Diego,CA,92123,5075 Kearny Villa Rd,32.828088,-117.142282,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T03:05:59Z,2025-07-16,GPS
361117,Sharp Spectrum Center,POWERFLEX,San Diego,CA,92123,8695 Spectrum Center Blvd,32.82513,-117.14062,J1772,,,10.0,$0.26 per kWh,24 hours daily,public,2024-11-06,2025-02-12T00:16:32Z,2024-04-29,200-8
416259,VIVE LUXE VAN ACCESSIBLE1,ChargePoint Network,San Diego,CA,92123,5075 Kearny Villa Rd,32.828028,-117.142285,J1772,,,1.0,,24 hours daily,public,2025-11-08,2025-11-08T03:05:59Z,2025-07-16,GPS
