Station Name,Street Address,City,State,ZIP,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Network,EV Connector Types,Access Code,Facility Type,Total_Chargers,Has_Level1,Has_Level2,Has_DC_Fast,ZIP_int,zip_code_int,county_name,electricity_rate_per_kwh,rate_tier
Moreno Valley Medical Center,27300 Iris Ave,Moreno Valley,CA,CA,0.0,2.0,0.0,Electrify America,J1772,public,,2.0,False,True,False,,,Sacramento,0.3869,Medium
Yolo Regional Transit District Yard,350 Industrial Way,Woodland,CA,95776,0.0,0.0,3.0,Electrify America,J1772COMBO,public,,3.0,False,False,True,95776,,Sacramento,0.3869,Medium
Riverside Medical Center,10800 Magnolia Ave,Riverside,CA,92505,0.0,2.0,0.0,Electrify America,J1772,public,,2.0,False,True,False,92505,,Orange,0.3869,Medium
Meridian MOB,14305 Meridian Pkwy,Riverside,CA,92508,0.0,2.0,0.0,Electrify America,J1772,public,,2.0,False,True,False,92508,,Orange,0.3869,Medium
Manteca MOB,1777 W. Yosemite Ave,Manteca,CA,95337,0.0,2.0,0.0,Electrify America,J1772,public,,2.0,False,True,False,95337,,Sacramento,0.3869,Medium
Stockton MOB,7373 West Lane,Stockton,CA,95210,0.0,2.0,0.0,Electrify America,J1772,public,,2.0,False,True,False,95210,,Sacramento,0.3869,Medium
Modesto MOB,4601 Dale Road,Modesto,CA,95356,0.0,2.0,0.0,Electrify America,J1772,public,,2.0,False,True,False,95356,,Sacramento,0.3869,Medium
FFF Santa Cruz - Riverwalk Plaza,700 Front St,Santa Cruz,CA,95060,0.0,0.0,6.0,Electrify America,CHADEMO J1772COMBO,public,,6.0,False,False,True,95060,,Sacramento,0.3869,Medium
SANTA MONICA GANDARA PARK,1819 Stewart St,Santa Monica,CA,90404,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,90404,,Los Angeles,0.3,Low
SANTA MONICA EUCLID PARK,1512 Euclid St,Santa Monica,CA,90404,0.0,2.0,0.0,ChargePoint Network,J1772,public,,2.0,False,True,False,90404,,Los Angeles,0.3,Low
